post_id,fetched_at,breed,pattern_name,with_image,views,likes,replies,reposts,quotes
18079509911411721,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,613,3,0,0,0
18012730340854848,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,263,0,1,0,0
18071123579672981,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,212,0,1,0,0
18084296894387113,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,8792,55,0,0,0
17899829235282467,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,155,0,1,0,0
18068799698690537,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,121,0,1,0,0
18122217163726147,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,100,1,1,0,0
18090962131993102,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,78,0,1,0,0
18027923282811119,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,56,0,1,0,0
17969085551905103,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,49,0,1,0,0
18108943039912114,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,31,0,1,0,0
18062770589438591,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,42,0,1,0,0
17951768532146546,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,24,0,0,0,0
18061965011456580,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,36,0,1,0,0
17924177466124722,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,20,0,0,0,0
17879961588589591,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,21,0,1,0,0
18128207803593026,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,37,0,1,0,0
18074012864653139,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,16,0,1,0,0
18090340310581440,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,24,0,1,0,0
18046930961773665,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,15,0,1,0,0
18101499713059314,2026-05-17T16:00:27.712459+00:00,toypoodle,,True,559,28,0,0,0
18081659204414829,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,112,1,0,0,0
18109149163714040,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,5,0,1,0,0
18422140360124218,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,7,0,1,0,0
17968896278904378,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,2,0,1,0,0
